STT;Ma nganh;SBD;NV;Xep hang;Khoi xet tuyen;Diem uu tien;Diem uu tien quy doi;Diem KK;Tong diem
453;D110106;KQH000578;2;169;A1;0,5;0,5;0;21,75
454;D110106;KQH004444;2;169;A1;1;1;0;21,75
455;D110106;LNH000166;1;169;A;0,5;0,5;0;21,75
456;D110106;LNH010515;3;169;B;0,5;0,5;0;21,75
457;D110106;THP005637;3;169;A;0,5;0,5;0;21,75
458;D110106;THV000574;3;169;B;1,5;1,5;0;21,75
459;D110106;TLA003815;2;169;D1;0;0;0;21,75
460;D110106;YTB009205;3;169;D1;1;1;0;21,75
461;D110106;YTB013944;2;169;A;1;1;0;21,75
462;D110106;DCN012865;1;185;A;1;1;0;21,5
